"","major_category","major","unwgt_num","num","num_in_grad","num_went_grad","num_no_grad","pct","pct_in_grad","pct_went_grad","pct_no_grad","num_lab_force","num_nilf","num_unemployed","num_employed","num_ftyr","num_ft","num_pt","num_lowend","num_noncollege","epop","lfpr","pct_nilf","urate","pct_employed","pct_ftyr","pct_ft","pct_pt","pct_lowend","pct_noncollege","per25_ftyr_earn","med_ftyr_earn","per75_ftyr_earn","ever_marr","men","women","white","black","natam","asian","hispan","pct_ever_marr","pct_men","pct_women","pct_white","pct_black","pct_natam","pct_asian","pct_hispan"
"27","Biology & Life Science","Zoology",236,26139,6581,2147,15347,0.00112245995608326,0.25176938674012,0.0821378017521711,0.587130341635105,22574,3565,673,21901,13372,17382,4519,788,13124,0.837866789089101,0.863613757221011,0.136386242778989,0.0298130592717285,0.970186940728271,0.610565727592347,0.793662389845213,0.206337610154787,0.0359800922332314,0.599242043742295,22246.158,30000,45700,6085,8973,17166,21877,384,264,1826,1930,0.232793909483913,0.343280156088603,0.656719843911397,0.836948620834768,0.0146906920693217,0.0100998507976587,0.0698573013504725,0.0738360304525804
"28","Business","Accounting",5861,675122,109159,136433,367031,0.0289910635629075,0.161687813461863,0.202086437710518,0.543651369678369,596758,78364,20910,575848,426782,500654,75194,24354,159126,0.852953984613151,0.883926164456202,0.116073835543798,0.0350393291753106,0.964960670824689,0.741136549922896,0.869420402606243,0.130579597393757,0.0422924104972145,0.276333337964185,38425.182,50559.45,63704.907,141439,342888,332234,478435,59747,956,95529,71498,0.209501393822154,0.507890425730461,0.492109574269539,0.708664508044472,0.0884980788657457,0.00141604036011269,0.141498869833897,0.105903821827759
"29","Business","Actuarial Science",140,15141,2183,558,11228,0.000650184253225317,0.144178059573344,0.0368535763820091,0.741562644475266,13422,1719,603,12819,9586,11430,1389,636,3767,0.846641569249059,0.88646720824252,0.11353279175748,0.0449262405006705,0.955073759499329,0.747796239956315,0.891645214135268,0.108354785864732,0.0496138544348233,0.293860675559716,48537.072,60671.34,80000,2242,9522,5619,10909,404,0,2733,1397,0.148074763886137,0.628888448583317,0.371111551416683,0.720494022851859,0.0266825176672611,0,0.180503269268873,0.0922660326266429
"30","Business","Business Economics",394,40232,4843,3245,26687,0.0017276410326769,0.120376814476039,0.0806571883078147,0.663327699343806,37059,3173,1495,35564,23092,30672,4892,1968,13647,0.883972956850268,0.921132431895009,0.0788675681049911,0.0403410777408996,0.9596589222591,0.649308289281296,0.862445169272298,0.137554830727702,0.0553368574963446,0.383730738949499,40000,55615.395,70783.23,6575,25503,14729,28490,1229,61,8293,3519,0.163427122688407,0.633898389341817,0.366101610658183,0.708142771922847,0.0305478226287532,0.00151620600517001,0.206129449194671,0.0874676874130046
"31","Business","Business Management And Administration",8237,939310,113355,73138,664630,0.0403358147346326,0.120679009059842,0.0778635381290522,0.70757257987246,837315,101995,43101,794214,575487,678106,116108,68562,459804,0.845529165025391,0.891414974821944,0.108585025178056,0.0514752512495297,0.94852474875047,0.724599415270947,0.853807663929369,0.146192336070631,0.0863268590077737,0.578942199457577,32000,44000,59660.151,211170,498514,440796,678751,106893,3122,95508,110940,0.224813959182804,0.530723616271518,0.469276383728482,0.722605955435373,0.113799491115819,0.00332371634497663,0.101678891952604,0.118107972873705
"32","Business","Finance",4521,517682,65770,42156,357146,0.0222302809971725,0.127047106138517,0.081432230597162,0.689894568480264,452682,65000,22909,429773,319079,380518,49255,20317,170143,0.830187257814643,0.874440293462009,0.125559706537991,0.0506072695622976,0.949392730437702,0.742436123255765,0.885392986530098,0.114607013469902,0.047273793374642,0.39589038864703,40000,54604.206,70783.23,77266,362894,154788,380130,28409,806,85082,43202,0.149253789005606,0.700997909913808,0.299002090086192,0.734292480712097,0.0548773185082734,0.00155694036107108,0.164351860794851,0.0834527760285272
"33","Business","General Business",6046,795991,104908,47413,558748,0.0341814156204394,0.13179545999892,0.0595647438224804,0.701952660268772,692501,103490,34977,657524,485584,563599,93925,60055,374397,0.826044515578694,0.869985967178021,0.130014032821979,0.0505082303130248,0.949491769686975,0.738503841684866,0.857153503142091,0.142846496857909,0.0913350691381607,0.569404310717175,30600,45503.505,60671.34,127317,462075,333916,564424,82025,2704,102717,83733,0.159947788354391,0.580502794629588,0.419497205370412,0.709083394158979,0.103047647523653,0.00339702333317839,0.12904291631438,0.105193400427894
"34","Business","Hospitality Management",1420,165897,14897,6214,127446,0.00712394274204613,0.089796681073196,0.0374569763166302,0.768223656847321,149532,16365,5119,144413,99761,121420,22993,23203,103045,0.870497959577328,0.901354454872602,0.0986455451273983,0.0342334751090068,0.965766524890993,0.690803459522342,0.840783031998504,0.159216968001496,0.160671130715379,0.713543794533733,30000,39000,50000,28371,44236,121661,118808,12292,566,22646,19606,0.171015750736903,0.266647377589709,0.733352622410291,0.716155204735468,0.0740941668625714,0.00341175548683822,0.136506386492824,0.118181763383304
"35","Business","Human Resources And Personnel Management",680,80250,10898,6911,53803,0.00344609248539275,0.13580062305296,0.0861183800623053,0.670442367601246,71594,8656,3508,68086,52615,58218,9868,2778,47063,0.848423676012461,0.89213707165109,0.10786292834891,0.0489985194290024,0.951001480570998,0.772772669858708,0.855065652263314,0.144934347736686,0.0408013394824193,0.691228740122786,30740.1456,40447.56,50559.45,18782,21354,58896,54371,10086,46,10573,8766,0.234043613707165,0.266093457943925,0.733906542056075,0.677520249221184,0.125682242990654,0.000573208722741433,0.131750778816199,0.109233644859813
"36","Business","International Business",624,69927,9948,4626,45161,0.00300280260717831,0.14226264533013,0.066154704191514,0.645830651965621,61258,8669,3607,57651,40805,48884,8767,5285,28933,0.82444549315715,0.87602785762295,0.12397214237705,0.0588821051944236,0.941117894805576,0.707793446774557,0.847929784392291,0.152070215607708,0.0916723040363567,0.501864668435933,36000,47525.883,62693.718,11823,30014,39913,52997,3297,0,8874,15291,0.169076322450556,0.429219042715975,0.570780957284025,0.757890371387304,0.0471491698485564,0,0.12690377107555,0.218670899652495
"37","Business","Management Information Systems And Statistics",583,64572,9836,3462,44007,0.00277284839833995,0.152326085609862,0.0536145697825683,0.681518305147742,57428,7144,2849,54579,38279,47268,7311,2620,18540,0.845242519977699,0.889363810939726,0.110636189060274,0.0496099463676256,0.950390053632374,0.701350336209898,0.866047380860771,0.133952619139229,0.0480038109895747,0.339691089979663,45503.505,58648.962,72000,13563,44446,20126,40214,6217,394,14429,6551,0.210044601375209,0.688316917549402,0.311683082450598,0.622777674533854,0.0962801214148547,0.00610171591401846,0.223455987115158,0.101452642012018
"38","Business","Marketing And Marketing Research",5200,610085,44907,29751,474426,0.0261982471520354,0.0736077759656441,0.0487653359777736,0.777639181425539,568767,41318,21958,546809,395460,470840,75969,52567,292155,0.896283304785399,0.932275010859143,0.0677249891408574,0.0386063185803677,0.961393681419632,0.723214138757775,0.861068490094347,0.138931509905653,0.0961341163002072,0.534290766977135,35000,44492.316,57000,100789,233582,376503,493740,43705,1590,41355,51814,0.165204848504717,0.382867961021825,0.617132038978175,0.809297065163051,0.0716375587008368,0.00260619421883836,0.0677856364277109,0.0849291492169124
"39","Business","Miscellaneous Business & Medical Administration",525,58594,8243,4652,38995,0.00251614134690471,0.140679933098952,0.0793937945864764,0.665511827149537,52333,6261,4398,47935,33475,41150,6785,4681,24915,0.818087176161382,0.893146055910161,0.106853944089839,0.0840387518391837,0.915961248160816,0.698341504120163,0.858454156670491,0.141545843329509,0.0976530718681548,0.519766350265985,32358.048,45503.505,60671.34,8315,32520,26074,43446,6489,393,3865,6479,0.141908727856094,0.55500563197597,0.44499436802403,0.741475236372325,0.110745127487456,0.00670717138273543,0.0659623852271564,0.110574461548964
"40","Business","Operations Logistics And E-Commerce",563,67275,7350,2847,50666,0.00288892052280122,0.109253065774805,0.0423188405797101,0.753117800074322,61353,5922,2514,58839,44033,54093,4746,1589,28087,0.874604236343367,0.911973244147157,0.0880267558528428,0.0409759913940639,0.959024008605936,0.748364180220602,0.919339213786774,0.0806607862132259,0.0270058974489709,0.477353456041061,42469.938,55000,65727.285,10736,45016,22259,52546,5433,28,7101,3655,0.159583797844667,0.669134150873281,0.330865849126719,0.781062801932367,0.0807580824972129,0.00041620215533259,0.105551839464883,0.0543292456335935
"41","Communications & Journalism","Advertising And Public Relations",1434,165056,17306,6709,126286,0.00708782855163846,0.104849263280341,0.0406468107793719,0.765110023264831,151813,13243,5918,145895,106317,123080,22815,13105,69136,0.883912126793331,0.919766624660721,0.0802333753392788,0.0389821688524698,0.96101783114753,0.728722711539121,0.843620411940094,0.156379588059906,0.0898248740532575,0.473875047122931,30335.67,40447.56,54604.206,25866,38271,126785,134321,14090,176,7343,19367,0.156710449786739,0.231866760372237,0.768133239627763,0.813790471112834,0.085364967041489,0.00106630476929042,0.0444879313687476,0.117335934470725
"42","Communications & Journalism","Communications",5741,684366,73729,38310,507315,0.0293880190636548,0.107733288912658,0.0559788183515838,0.741291940277571,624356,60010,33079,591277,394058,478000,113277,60737,321452,0.863977754593302,0.91231300210706,0.0876869978929403,0.0529809916137588,0.947019008386241,0.666452441072458,0.80841974235426,0.19158025764574,0.102721736174416,0.543657202969167,30335.67,40447.56,51570.639,106894,218069,466297,529248,67441,3197,41097,72193,0.156194200179436,0.318643825087745,0.681356174912255,0.773340580917228,0.0985452228778168,0.0046714769582358,0.0600512006733239,0.105488875835445
"43","Communications & Journalism","Journalism",1902,224229,22932,16337,165503,0.00962883329479292,0.102270446730798,0.0728585508564905,0.738098105062235,208229,16000,12159,196070,134064,160840,35230,14917,85403,0.874418563165335,0.928644376953918,0.0713556230460824,0.0583924429354221,0.941607557064578,0.683755801499464,0.82031927372877,0.17968072627123,0.0760799714387719,0.435574029683276,30335.67,40000,50559.45,32855,72455,151774,171529,26155,160,15080,22761,0.14652431219869,0.323129479237744,0.676870520762256,0.764972416591966,0.116644145048143,0.000713556230460824,0.0672526747209326,0.101507833509493
"44","Communications & Journalism","Mass Media",1740,195279,16652,10723,146885,0.00838566348230544,0.0852728660019767,0.0549111783653132,0.752180213950297,178317,16962,16062,162255,96181,124245,38010,16163,91696,0.830888113929301,0.913139661714777,0.0868603382852227,0.0900755396288632,0.909924460371137,0.592776801947552,0.765739114357031,0.234260885642969,0.0996148038581246,0.56513512680657,27302.103,37413.993,50559.45,27972,88609,106670,137038,31318,268,15811,22537,0.143241208732122,0.453755908213377,0.546244091786623,0.701754925004737,0.160375667634513,0.00137239539325785,0.0809662073238802,0.115409234991986
"45","Computers & Mathematics","Applied Mathematics",219,22851,6214,4178,10742,0.00098126678359763,0.271935582687847,0.182836637346287,0.470088836374776,19237,3614,2062,17175,11493,14097,3078,514,3763,0.751608244715767,0.841844995842633,0.158155004157367,0.107189270676301,0.892810729323699,0.669170305676856,0.820786026200873,0.179213973799127,0.0299272197962154,0.219097525473071,40447.56,60165.7455,91007.01,4857,13952,8899,13355,292,61,7128,1997,0.212550873047131,0.610564089098945,0.389435910901055,0.584438317797908,0.0127784342041924,0.00266946741936896,0.311933832217408,0.0873922366636033
"46","Computers & Mathematics","Communication Technologies",580,67130,6721,1399,52899,0.00288269393824817,0.100119171756294,0.020840160881871,0.788008342022941,59758,7372,4872,54886,31817,40338,14548,7047,30022,0.817607626992403,0.890183226575302,0.109816773424698,0.0815288329596037,0.918471167040396,0.579692453448967,0.734941515140473,0.265058484859527,0.128393397223336,0.546988303028095,27000,35391.615,48537.072,9920,38467,28663,47115,6293,181,8477,9394,0.14777297780426,0.573022493669,0.426977506331,0.701847162222553,0.0937434827945777,0.00269626098614628,0.126277372262774,0.139937434827946
"47","Computers & Mathematics","Computer Administration Management And Security",325,36487,5277,3699,23495,0.00156682338335857,0.144626853399841,0.101378573190451,0.643927974347028,33113,3374,1855,31258,22533,27035,4223,1786,12221,0.856688683640749,0.907528708855209,0.0924712911447913,0.0560202941442938,0.943979705855706,0.720871456907032,0.864898585961994,0.135101414038006,0.0571373728325549,0.390971911190735,34380.426,51570.639,72805.608,8634,29382,7105,24444,4861,131,4554,3266,0.23663222517609,0.805273110971031,0.194726889028969,0.669937237920355,0.133225532381396,0.00359031983994299,0.124811576725957,0.0895113328034643
"48","Computers & Mathematics","Computer And Information Systems",1417,172546,21975,16457,116860,0.00740946385027512,0.127357342389855,0.0953774645601753,0.67726867038355,147056,25490,10143,136913,93602,112922,23991,8264,53619,0.793486954203517,0.852271278383735,0.147728721616265,0.0689737242955065,0.931026275704493,0.683660426694324,0.824771935462666,0.175228064537334,0.0603594983675765,0.391628260282077,39436.371,52581.828,70783.23,37740,120775,51771,93311,20439,189,49230,15628,0.218724282220393,0.699958271997033,0.300041728002967,0.54078912290056,0.118455368423493,0.00109536007789227,0.285315220289082,0.0905729486629652
"49","Computers & Mathematics","Computer Networking And Telecommunications",238,27477,2962,2986,19378,0.00117991630182102,0.107799250282054,0.108672708083124,0.705244386213924,26085,1392,841,25244,18255,21538,3706,2582,14211,0.918732030425447,0.949339447537941,0.0506605524620592,0.0322407513896876,0.967759248610312,0.723142132784028,0.853192837902076,0.146807162097924,0.102281730312153,0.562945650451593,30335.67,42469.938,58000,4526,17962,9515,20338,2676,0,2965,2417,0.164719583651781,0.653710375950795,0.346289624049205,0.740182698256724,0.0973905448193034,0,0.107908432507188,0.0879644793827565
"50","Computers & Mathematics","Computer Programming And Data Processing",165,20667,2248,2266,13269,0.000887481537640026,0.108772439154207,0.109643392848502,0.642038031644651,18719,1948,1125,17594,10842,14511,3083,1028,4981,0.85130884985726,0.905743455750714,0.0942565442492863,0.06009936428228,0.93990063571772,0.616232806638627,0.824769807889053,0.175230192110947,0.0584290098897351,0.283107877685575,39436.371,50000,62693.718,3181,16946,3721,14397,1431,0,3140,1622,0.153916872308511,0.819954516862631,0.180045483137369,0.696617796487153,0.0692408186964726,0,0.151933033338172,0.0784826051192723
"51","Computers & Mathematics","Computer Science",4583,558571,105237,74178,328540,0.0239861348991691,0.18840398087262,0.132799590383317,0.588179479421595,461643,96928,25236,436407,301714,373489,62918,14637,108095,0.78129190380453,0.826471478111109,0.173528521888891,0.0546656182374692,0.945334381762531,0.69135921284489,0.855827243834311,0.144172756165689,0.0335397919831717,0.247693093832134,45503.505,64000,87973.443,99798,434081,124490,292696,40077,697,192926,34803,0.178666633248056,0.777127706236092,0.222872293763908,0.524008586195846,0.0717491599098414,0.00124782704436858,0.345392080863489,0.0623072089313624
"52","Computers & Mathematics","Information Sciences",466,54717,7551,4770,36631,0.00234965535854499,0.138000986896211,0.0871758320083338,0.669462872599009,48673,6044,3442,45231,32498,39803,5428,1235,16617,0.826635232194748,0.889540727744577,0.110459272255423,0.0707168245228361,0.929283175477164,0.718489531515996,0.879993809555393,0.120006190444607,0.0273042824611439,0.367380778669497,40447.56,60000,72000,9564,39507,15210,33447,5779,0,12224,3284,0.174790284555074,0.722024233784747,0.277975766215253,0.611272547837052,0.105616170477183,0,0.223404060895151,0.0600179103386516
"53","Computers & Mathematics","Mathematics",2419,266007,70577,39033,129349,0.011422862601394,0.265320085561658,0.146736740010601,0.486261639731285,227363,38644,13547,213816,127157,161655,52161,11177,65945,0.803798396282805,0.85472562752108,0.14527437247892,0.0595831335793423,0.940416866420658,0.594702922138661,0.756047255584241,0.243952744415759,0.0522739177610656,0.308419388633217,35000,47525.883,65727.285,49231,150695,115312,190171,15605,162,47439,24200,0.185074076997974,0.56650764829497,0.43349235170503,0.714909758013887,0.0586638697477886,0.000609006529903348,0.178337412173364,0.0909750495287718
"54","Computers & Mathematics","Statistics And Decision Science",264,29621,7590,4525,14205,0.00127198386928123,0.25623712906384,0.152763242294318,0.47955842139023,24570,5051,824,23746,13554,18108,5638,472,6916,0.801660983761521,0.829479085783735,0.170520914216266,0.0335368335368335,0.966463166463166,0.57079087004127,0.762570538195907,0.237429461804093,0.0198770319211657,0.291249052471995,44492.316,60671.34,76850.364,4510,15238,14383,14424,880,67,12940,1855,0.15225684480605,0.514432328415651,0.485567671584349,0.486951824718949,0.0297086526450829,0.00226190878093245,0.436852233212923,0.0626244893825327
"55","Education","Art And Music Education",1005,105873,19623,10924,65784,0.00454639438885965,0.185344705448981,0.103180225364352,0.621348219092687,97913,7960,3772,94141,52616,70997,23144,6410,24209,0.889187989383507,0.924815580931871,0.0751844190681288,0.0385239957921829,0.961476004207817,0.55890632136901,0.75415600004249,0.245843999957511,0.0680893553287091,0.257156817964543,31346.859,38627.4198,45503.505,32115,37017,68856,92065,6239,112,3935,6550,0.303335127936301,0.349635884503131,0.650364115496869,0.869579590641618,0.058929094292218,0.00105787122306915,0.0371671719890813,0.0618665759919904
"56","Education","Early Childhood Education",1082,113714,18251,14493,72720,0.00488310231631092,0.160499146982781,0.127451325254586,0.63949909421883,105188,8526,2783,102405,62975,86550,15855,2973,19232,0.90054874509735,0.925022424679459,0.074977575320541,0.0264573905768719,0.973542609423128,0.614960207021142,0.845173575509008,0.154826424490992,0.0290317855573458,0.187803329915531,25279.725,35000,41458.749,40308,4011,109703,96507,8129,209,5459,8788,0.354468227307104,0.0352727016902053,0.964727298309795,0.848681780607489,0.0714863605184938,0.00183794431644301,0.0480064020261357,0.0772816012100533
"57","Education","Elementary Education",4148,417395,73822,43863,264632,0.0179237604104736,0.176863642353167,0.105087507037698,0.63400855304927,381394,36001,9345,372049,223728,310235,61814,17446,71102,0.891359503587729,0.913748367852993,0.086251632147007,0.024502220800537,0.975497779199463,0.60134014605603,0.833855217995479,0.166144782004521,0.0468916728710466,0.191109235611438,30335.67,36402.804,42469.938,145244,30425,386970,377777,15350,1333,11681,28561,0.347977335617341,0.0728925837635813,0.927107416236419,0.905082715413457,0.0367757160483475,0.00319361755651122,0.0279854813785503,0.0684267899711305
"58","Education","General Education",3339,467242,91928,65304,272472,0.0200642884119611,0.196746011702715,0.139764832784724,0.583149631240342,415754,51488,11379,404375,256295,335285,69090,23316,97860,0.86545087984385,0.889804426828068,0.110195573171932,0.0273695502628958,0.972630449737104,0.633805255023184,0.829143740340031,0.170856259659969,0.0576593508500773,0.242003091190108,30335.67,38829.6576,46514.694,120612,91384,375858,372032,43199,1534,26748,65344,0.258136040852492,0.195581732806554,0.804418267193446,0.796229790986256,0.0924553015353928,0.00328309526968894,0.0572465660193219,0.139850441527089
"59","Education","Language And Drama Education",738,79089,14692,9001,47366,0.00339623686700595,0.185765403532729,0.113808494228022,0.598894915854291,70293,8796,2167,68126,38058,54547,13579,2522,16559,0.861384010418642,0.888783522360885,0.111216477639115,0.0308281052167357,0.969171894783264,0.558641341044535,0.800678155183043,0.199321844816957,0.0370196400786777,0.243064321991604,31000,37312.8741,45000,21950,14132,64957,65665,4586,608,4432,7562,0.277535434763368,0.178684772850839,0.821315227149161,0.830267167368408,0.0579853076913351,0.00768754188319488,0.0560381342538153,0.0956138021722363
"60","Education","Mathematics Teacher Education",436,45646,10228,7018,25494,0.00196012881729891,0.224072207860492,0.153748411689962,0.558515532576787,42300,3346,1089,41211,25569,35694,5517,1048,6805,0.902839241116418,0.926696753275205,0.0733032467247952,0.0257446808510638,0.974255319148936,0.620441144354663,0.866127975540511,0.133872024459489,0.025430103613113,0.165125815922933,34077.0693,40447.56,47900,13346,15039,30607,41194,1093,0,1826,3370,0.292380493361959,0.329470271217631,0.670529728782369,0.902466809797134,0.0239451430574421,0,0.0400035052359462,0.0738290321167244
"61","Education","Miscellaneous Education",285,28380,4856,3681,17554,0.00121869289389964,0.171106412966878,0.129704016913319,0.618534178999295,25950,2430,892,25058,17585,22140,2918,677,6770,0.882945736434109,0.914376321353066,0.0856236786469345,0.034373795761079,0.965626204238921,0.701771889217016,0.883550163620401,0.116449836379599,0.0270173198180222,0.270173198180222,33369.237,40447.56,48537.072,10522,9902,18478,23989,770,223,891,2779,0.370754052149401,0.348907681465821,0.651092318534179,0.845278365045807,0.0271317829457364,0.00785764622973925,0.0313953488372093,0.0979210711768851
"62","Education","Physical And Health Education Teaching",658,71576,11244,7615,44649,0.00307361390323329,0.157091762601989,0.106390410193361,0.623798479937409,65097,6479,2834,62263,36388,47567,14696,3737,26337,0.86988655415223,0.909480831563653,0.0905191684363474,0.0435350323363596,0.95646496766364,0.584424136324944,0.763968970335512,0.236031029664488,0.0600195943015916,0.422996000835167,30335.67,38425.182,49548.261,18253,39169,32407,55654,8709,51,4076,3865,0.255015647703141,0.547236503856041,0.452763496143959,0.777551134458478,0.121674863082598,0.000712529339443389,0.0569464625013971,0.0539985469989941
"63","Education","Science And Computer Teacher Education",201,20693,4244,3367,11287,0.00088859802866333,0.205093509882569,0.162712028222104,0.54545015222539,18589,2104,894,17695,11731,15362,2333,753,2765,0.855120088918958,0.89832310443145,0.10167689556855,0.0480929582010867,0.951907041798913,0.662955637185646,0.868154846001695,0.131845153998305,0.042554393896581,0.156258830178016,32358.048,37980,42469.938,6797,6008,14685,17958,750,116,1254,765,0.32846856424878,0.290339728410574,0.709660271589426,0.867829700865027,0.0362441405306142,0.00560576040206833,0.060600202967187,0.0369690233412265
"64","Education","Secondary Teacher Education",439,44636,8182,4121,28731,0.00191675743523976,0.183304955641186,0.0923245810556502,0.643673268213998,42148,2488,1138,41010,26978,34647,6363,1286,8000,0.918765122322789,0.944260238372614,0.055739761627386,0.0270000949036728,0.972999905096327,0.657839551328944,0.844842721287491,0.155157278712509,0.0313582053157766,0.195074372104365,31346.859,37500,43481.127,11790,18276,26360,39191,2262,180,1570,2765,0.264136571377364,0.409445290796666,0.590554709203334,0.878013262837172,0.0506765839232906,0.00403261941034143,0.0351734026346447,0.0619455148310781
"65","Education","Social Science Or History Teacher Education",447,47581,9233,4943,29298,0.00204322151461025,0.194048044387466,0.103886004917929,0.615749984237406,42160,5421,832,41328,25879,33143,8185,2399,11734,0.868581997015615,0.886067968306677,0.113932031693323,0.0197343453510436,0.980265654648956,0.626185636856369,0.801950251645374,0.198049748354626,0.0580478126209834,0.283923732094464,30000,38425.182,45503.505,12578,24832,22749,41436,1451,188,2195,4709,0.264349215022803,0.521888989302453,0.478111010697547,0.870851810596667,0.030495365797272,0.00395115697442256,0.0461318593556251,0.0989680754923184
"66","Education","Special Needs Education",798,81801,18042,13465,43172,0.00351269546912913,0.220559650860014,0.164606789648048,0.527768609185707,74728,7073,3088,71640,43962,61329,10311,3788,12113,0.875783914622071,0.913534064375741,0.0864659356242589,0.0413231988009849,0.958676801199015,0.613651591289782,0.85607202680067,0.14392797319933,0.0528754885538805,0.169081518704634,32358.048,40447.56,47525.883,24656,9089,72712,71261,3348,688,1637,7314,0.30141440813682,0.111111111111111,0.888888888888889,0.871150719428858,0.040928595004951,0.00841065512646545,0.0200119802936394,0.0894121098764074
"67","Education","Teacher Education: Multiple Levels",437,43152,8336,5808,25547,0.00185303156298652,0.193177604746014,0.134593993325918,0.592023544679273,39644,3508,689,38955,24253,33322,5633,649,5852,0.90273915461624,0.918705969595847,0.0812940304041528,0.017379679144385,0.982620320855615,0.622590168142729,0.855397253240919,0.144602746759081,0.0166602490052625,0.150224618149146,32000,37413.993,43481.127,17316,7464,35688,39227,1818,0,647,1184,0.401279199110122,0.172969966629588,0.827030033370412,0.909042454579162,0.0421301446051168,0,0.0149935113088617,0.0274378939562477
"68","Engineering","Aerospace Engineering",564,58067,14177,6729,32307,0.00249351093270157,0.244149000292765,0.115883376100022,0.556374532867205,52089,5978,2153,49936,33743,42230,7706,1252,13144,0.859972101193449,0.897049959529509,0.102950040470491,0.0413331029583981,0.958666897041602,0.675724927907722,0.845682473566165,0.154317526433835,0.025072092278116,0.263216917654598,45503.505,64000,76000,9890,51391,6676,44825,1314,169,8414,4907,0.170320491845627,0.885029362632821,0.114970637367179,0.771953088673429,0.0226290319802986,0.0029104310537827,0.144901579210223,0.0845058294728503
"69","Engineering","Architecture",1313,149851,28841,26342,81684,0.00643489601281732,0.19246451475132,0.175787949363034,0.545101467457675,127705,22146,6893,120812,76506,96056,24756,6538,35845,0.806214172744927,0.852213198443788,0.147786801556213,0.0539759602208214,0.946024039779179,0.633264907459524,0.795086580803231,0.204913419196769,0.0541171406813893,0.296700658874946,35391.615,45503.505,57637.773,25716,79469,70382,104564,8489,70,22937,21934,0.171610466396621,0.530320117983864,0.469679882016136,0.697786467891439,0.0566496052745727,0.000467130683145258,0.153065378275754,0.14637206291583
"70","Engineering","Biological Engineering",357,36573,11055,5465,16263,0.00157051639212797,0.302272167992782,0.149427173051158,0.444672299237142,30780,5793,1223,29557,18882,25061,4496,1173,6542,0.808164492931944,0.84160446230826,0.15839553769174,0.0397335932423652,0.960266406757635,0.638833440470954,0.847887133335589,0.152112866664411,0.0396860303819738,0.221335047535271,38000,56626.584,70783.23,5660,20756,15817,20403,2297,0,11979,1990,0.154758975200284,0.567522489268039,0.432477510731961,0.557870560249364,0.0628058950591967,0,0.327536707407104,0.0544117244962131
