"","major_category","major","unwgt_num","num","num_in_grad","num_went_grad","num_no_grad","pct","pct_in_grad","pct_went_grad","pct_no_grad","num_lab_force","num_nilf","num_unemployed","num_employed","num_ftyr","num_ft","num_pt","num_lowend","num_noncollege","epop","lfpr","pct_nilf","urate","pct_employed","pct_ftyr","pct_ft","pct_pt","pct_lowend","pct_noncollege","per25_ftyr_earn","med_ftyr_earn","per75_ftyr_earn","ever_marr","men","women","white","black","natam","asian","hispan","pct_ever_marr","pct_men","pct_women","pct_white","pct_black","pct_natam","pct_asian","pct_hispan"
"71","Engineering","Biomedical Engineering",665,68755,21697,12461,28669,0.00295247462720472,0.31556977674351,0.181237728165224,0.416973311031925,55761,12994,3011,52750,33946,45170,7580,1014,11732,0.767216929677842,0.811010108355756,0.188989891644244,0.0539983142339628,0.946001685766037,0.643526066350711,0.856303317535545,0.143696682464455,0.0192227488151659,0.222407582938389,40000,60000,74000,9101,35729,33026,44495,3511,0,19004,4193,0.132368555014181,0.519656752236201,0.480343247763799,0.647152934332049,0.0510653770634863,0,0.276401716238819,0.0609846556614064
"72","Engineering","Chemical Engineering",1255,138137,29886,11332,84748,0.00593187386485606,0.216350434713364,0.0820345019799185,0.61350688085017,119372,18765,5843,113529,84098,100739,12790,3031,22776,0.821858010525782,0.864156598159798,0.135843401840202,0.0489478269610964,0.951052173038904,0.74076227219477,0.887341560306177,0.112658439693823,0.0266980242933524,0.200618344211611,45503.505,66000,80000,22993,88242,49895,93760,7664,269,29600,9289,0.166450697495964,0.638800610987643,0.361199389012357,0.678746461845849,0.0554811527686282,0.00194734213136234,0.214280026350652,0.0672448366476759
"73","Engineering","Civil Engineering",1701,185566,38250,22021,108548,0.00796856820117622,0.206126122242221,0.118669368311005,0.584956295873166,162803,22763,4891,157912,113500,139127,18785,4221,29482,0.850974855307546,0.877332054363407,0.122667945636593,0.0300424439353083,0.969957556064692,0.718754749480723,0.881041339480217,0.118958660519783,0.0267300775115254,0.18669892091798,48537.072,59000,70783.23,38531,136033,49533,128470,9435,889,33134,21042,0.207640408264445,0.733070713384995,0.266929286615005,0.692314324822435,0.0508444434864145,0.00479074830518522,0.178556416584935,0.11339361736525
"74","Engineering","Computer Engineering",1575,168427,34573,22773,96189,0.00723258590700617,0.205269938905282,0.135209912899951,0.571102020459903,143288,25139,6699,136589,93774,117765,18824,3946,29774,0.810968550173072,0.850742458156946,0.149257541843054,0.0467519959801239,0.953248004019876,0.686541375952676,0.862185095432282,0.137814904567718,0.0288895884734495,0.217982414396474,48537.072,69772.041,85951.065,30059,134016,34411,89879,9914,828,57918,14241,0.178469010313073,0.795691902129706,0.204308097870294,0.533637718418068,0.0588622964251575,0.00491607640105209,0.34387598187939,0.0845529517238923
"75","Engineering","Electrical Engineering",2811,317843,90694,65269,140571,0.0136488021661644,0.285342134324179,0.205349811070245,0.442265521027677,261878,55965,12128,249750,160237,209992,39758,9071,55021,0.785765299220055,0.823922502619218,0.176077497380782,0.04631164129862,0.95368835870138,0.64158958958959,0.840808808808809,0.159191191191191,0.0363203203203203,0.220304304304304,50000,68000,83928.687,60086,244329,73514,153220,12715,821,136881,21592,0.189043018093839,0.768709708881429,0.231290291118571,0.482061898484472,0.0400040271454775,0.00258303627891758,0.430656015705867,0.067932910273311
"76","Engineering","Electrical Engineering Technology",325,40631,10995,7184,21089,0.00174477487568839,0.270606187393862,0.176810809480446,0.51903718835372,30443,10188,1968,28475,15833,23406,5069,1864,10804,0.700819571263321,0.749255494573109,0.250744505426891,0.0646454028840784,0.935354597115922,0.55603160667252,0.82198419666374,0.17801580333626,0.0654609306409131,0.379420544337138,40000,63000,74000,11973,25957,14674,9920,1226,185,27445,1418,0.29467647855086,0.638847185646428,0.361152814353572,0.244148556520883,0.0301740050700204,0.00455317368511728,0.67546946912456,0.0348994610026827
"77","Engineering","Engineering Mechanics Physics And Science",124,12683,3666,2337,6246,0.000544632909560577,0.289048332413467,0.184262398486163,0.49247023574864,10458,2225,625,9833,7512,8600,1233,159,3582,0.775289757943704,0.824568319798155,0.175431680201845,0.0597628609676802,0.94023713903232,0.763958100274586,0.874605918844707,0.125394081155293,0.0161700396623614,0.364283535035086,33369.237,50559.45,75000,1578,10858,1825,9255,494,104,1767,1842,0.124418512970117,0.856106599385004,0.143893400614996,0.729716943940708,0.0389497752897579,0.00819995269258062,0.139320350074903,0.145233777497438
"78","Engineering","Engineering Technologies",185,21343,5213,1922,12739,0.000916510304245951,0.2442486998079,0.0900529447594059,0.596870168205032,17412,3931,956,16456,11400,13585,2871,1567,6900,0.771025629011854,0.815817832544628,0.184182167455372,0.0549046634504939,0.945095336549506,0.692756441419543,0.825534759358289,0.174465240641711,0.0952236266407389,0.419299951385513,35391.615,48000,62693.718,5114,14320,7023,12262,2818,0,4985,1438,0.239610176638711,0.670945977603898,0.329054022396102,0.574520920208031,0.132033922129035,0,0.233566040387949,0.0673757203767043
"79","Engineering","Environmental Engineering",199,20309,4011,3109,11099,0.000872108315088367,0.197498645920528,0.153084839233837,0.54650647496184,17500,2809,830,16670,10823,13840,2830,415,4173,0.820818356393717,0.861686936826038,0.138313063173962,0.0474285714285714,0.952571428571429,0.649250149970006,0.830233953209358,0.169766046790642,0.0248950209958008,0.250329934013197,30335.67,50559.45,66738.474,2845,9043,11266,14676,689,0,3246,1670,0.140085676301147,0.445270569698163,0.554729430301837,0.722635284849082,0.0339258456841794,0,0.159830616967847,0.0822295533999705
"80","Engineering","General Engineering",1595,221652,50918,29201,118525,0.00951817185759844,0.229720462707307,0.131742551386859,0.534734629058163,173953,47699,9577,164376,118154,143727,20649,6259,43687,0.741594932597044,0.784802302708751,0.215197697291249,0.0550551010905245,0.944944898909476,0.718803231615321,0.874379471455687,0.125620528544313,0.0380773348907383,0.265774808974546,40447.56,60671.34,74000,42194,166200,55452,126145,15568,542,62029,25645,0.190361467525671,0.749824048508473,0.250175951491527,0.569112843556566,0.0702362261563171,0.00244527457455832,0.279848591485752,0.115699384620937
