"","major_category","major","unwgt_num","num","num_in_grad","num_went_grad","num_no_grad","pct","pct_in_grad","pct_went_grad","pct_no_grad","num_lowend","num_noncollege","pct_lowend","pct_noncollege","per25_ftyr_earn","med_ftyr_earn","per75_ftyr_earn","ever_marr","men","women","white","black","natam","asian","hispan","pct_ever_marr","pct_men","pct_women","pct_white","pct_black","pct_natam","pct_asian","pct_hispan"
"16","Biology & Life Science","Environmental Science",659,72518,6298,4821,59238,0.00591471820998008,0.086847403403293,0.0664800463333241,0.816873052207728,3110,32300,0.0428859041893047,0.445406657657409,30000,38526.3009,50559.45,11054,37434,35084,61554,4002,101,4142,5178,0.152431120549381,0.516202873769271,0.483797126230729,0.848809950632946,0.0551862985741471,0.00139275766016713,0.057116853746656,0.0714029620232218
"17","Biology & Life Science","Microbiology",179,19705,2973,3749,12013,0.001607180594165,0.150875412331895,0.190256280131946,0.609642222786095,357,7762,0.0181172291296625,0.393910175082466,28000,38425.182,53593.017,5012,8849,10856,13343,2054,0,3629,2519,0.254351687388988,0.449073839127125,0.550926160872875,0.677137782288759,0.104237503171784,0,0.184166455214413,0.127835574727227
"18","Biology & Life Science","Miscellaneous Biology",192,21549,5246,4376,11118,0.00175758105169559,0.243445171469674,0.203072068309434,0.515940414868439,1191,7090,0.0552693860503968,0.329017587823101,25279.725,39133.0143,54000,4921,8851,12698,13347,784,83,6522,1831,0.228363265116711,0.41073831732331,0.58926168267669,0.619379089516915,0.0363821987099169,0.00385168685321825,0.302659056104692,0.0849691400993085
"19","Biology & Life Science","Molecular Biology",216,22750,6261,6189,9693,0.00185553709805906,0.275208791208791,0.272043956043956,0.426065934065934,180,4978,0.00791208791208791,0.218813186813187,30335.67,42469.938,58000,2590,8401,14349,14945,1057,45,4864,1935,0.113846153846154,0.369274725274725,0.630725274725275,0.656923076923077,0.0464615384615385,0.00197802197802198,0.213802197802198,0.0850549450549451
"20","Biology & Life Science","Neuroscience",226,25712,6213,3318,15006,0.00209712395012284,0.241638145612943,0.129044803982576,0.583618543870566,753,7294,0.0292859365276914,0.283680771624144,28313.292,38000,55615.395,2528,11569,14143,19506,1357,51,3601,1818,0.0983198506533914,0.449945550715619,0.550054449284381,0.758634100808961,0.0527769135034225,0.0019835096453018,0.140051337896702,0.0707062850031114
"21","Biology & Life Science","Physiology",316,36166,7279,7988,20059,0.00294977383245732,0.201266382790466,0.220870430791351,0.554636951833213,1011,13715,0.0279544323397666,0.37922358015816,30000,42000,60671.34,7277,15459,20707,27756,1593,328,5145,2064,0.201211082231931,0.427445667201239,0.572554332798761,0.767461151357629,0.0440468948736382,0.00906929159984516,0.142260686832937,0.0570701764087817
"22","Biology & Life Science","Zoology",114,13372,1924,1587,9574,0.00109064800330751,0.143882740053844,0.118680825605743,0.715973676338618,40,7765,0.00299132515704457,0.580690996111277,22246.158,30000,45700,3206,5671,7701,12202,138,60,635,1293,0.239754711337122,0.424095124139994,0.575904875860006,0.912503739156446,0.0103200717918038,0.00448698773556686,0.0474872868680826,0.0966945857014657
"23","Business","Accounting",3704,426782,39360,108573,264491,0.034809223463026,0.0922250704106546,0.254399201465854,0.619733259603264,6973,92604,0.0163385522350989,0.216981972060677,38425.182,50559.45,63704.907,99649,224585,202197,316623,36816,612,50057,40613,0.233489228692869,0.526228847514656,0.473771152485344,0.741884615564855,0.0862641817133806,0.00143398737528762,0.117289388962046,0.0951609955433922
"24","Business","Business Economics",232,23092,2333,1933,17454,0.00188343132608263,0.10103065996882,0.0837086436861251,0.75584618049541,383,6955,0.0165858305906808,0.301186558115365,40000,55615.395,70783.23,3873,15818,7274,16841,532,61,4353,2350,0.167720422657197,0.684999133899186,0.315000866100814,0.729300190542179,0.0230382816559848,0.00264160748311103,0.188506842196432,0.101766845660835
"25","Business","Business Management And Administration",5045,575487,41372,48350,463511,0.0469379111187127,0.071890416290898,0.0840157987930223,0.805423927908015,31255,317197,0.0543105230874025,0.551180130915207,32000,44000,59660.151,143083,316470,259017,438056,62614,1255,42419,62154,0.248629421689804,0.549916853030564,0.450083146969436,0.761191825358349,0.108801762680999,0.00218076168532043,0.0737097449638306,0.108002439672834
